expiry,option_type,strike,bid,ask,last,volume,openInterest,mid_price,mid_price_source
2026-06-24,put,285.0,0.0,0.0,0.16,488.0,0,0.16,last_price_fallback
2026-06-24,put,287.5,0.0,0.0,0.26,2182.0,0,0.26,last_price_fallback
2026-06-24,put,290.0,0.0,0.0,0.47,19822.0,0,0.47,last_price_fallback
2026-06-24,put,292.5,0.0,0.0,0.83,3567.0,0,0.83,last_price_fallback
2026-06-24,put,295.0,0.0,0.0,1.5,16959.0,0,1.5,last_price_fallback
2026-06-24,put,297.5,0.0,0.0,2.62,14640.0,0,2.62,last_price_fallback
2026-06-24,put,300.0,0.0,0.0,4.18,9574.0,0,4.18,last_price_fallback
2026-06-24,put,302.5,0.0,0.0,6.2,1222.0,0,6.2,last_price_fallback
2026-06-24,put,305.0,0.0,0.0,8.24,190.0,0,8.24,last_price_fallback
2026-06-24,put,307.5,0.0,0.0,10.55,29.0,0,10.55,last_price_fallback
2026-06-24,put,310.0,0.0,0.0,12.7,35.0,0,12.7,last_price_fallback
2026-06-24,put,312.5,0.0,0.0,15.13,182.0,0,15.13,last_price_fallback
2026-06-24,put,315.0,0.0,0.0,17.63,11.0,0,17.63,last_price_fallback
2026-06-24,put,317.5,0.0,0.0,18.6,2.0,0,18.6,last_price_fallback
2026-06-26,call,110.0,0.0,0.0,199.64,3.0,0,199.64,last_price_fallback
2026-06-26,call,150.0,0.0,0.0,149.29,6.0,0,149.29,last_price_fallback
2026-06-26,call,175.0,0.0,0.0,121.01,1.0,0,121.01,last_price_fallback
2026-06-26,call,185.0,0.0,0.0,109.61,1.0,0,109.61,last_price_fallback
2026-06-26,call,190.0,0.0,0.0,104.74,1.0,0,104.74,last_price_fallback
2026-06-26,call,195.0,0.0,0.0,104.36,2.0,0,104.36,last_price_fallback
2026-06-26,call,200.0,0.0,0.0,99.38,3.0,0,99.38,last_price_fallback
2026-06-26,call,205.0,0.0,0.0,92.65,2.0,0,92.65,last_price_fallback
2026-06-26,call,210.0,0.0,0.0,85.53,1.0,0,85.53,last_price_fallback
2026-06-26,call,215.0,0.0,0.0,80.42,1.0,0,80.42,last_price_fallback
2026-06-26,call,220.0,0.0,0.0,80.34,20.0,0,80.34,last_price_fallback
2026-06-26,call,225.0,0.0,0.0,74.4,2.0,0,74.4,last_price_fallback
2026-06-26,call,230.0,0.0,0.0,69.42,3.0,0,69.42,last_price_fallback
2026-06-26,call,235.0,0.0,0.0,56.93,1.0,0,56.93,last_price_fallback
2026-06-26,call,240.0,0.0,0.0,58.38,11.0,0,58.38,last_price_fallback
2026-06-26,call,245.0,0.0,0.0,55.5,1.0,0,55.5,last_price_fallback
2026-06-26,call,250.0,0.0,0.0,48.5,173.0,0,48.5,last_price_fallback
2026-06-26,call,255.0,0.0,0.0,44.94,3.0,0,44.94,last_price_fallback
2026-06-26,call,257.5,0.0,0.0,40.16,1000.0,0,40.16,last_price_fallback
2026-06-26,call,260.0,0.0,0.0,37.7,87.0,0,37.7,last_price_fallback
2026-06-26,call,262.5,0.0,0.0,29.76,,0,29.76,last_price_fallback
2026-06-26,call,265.0,0.0,0.0,34.27,7.0,0,34.27,last_price_fallback
2026-06-26,call,267.5,0.0,0.0,31.8,2.0,0,31.8,last_price_fallback
2026-06-26,call,270.0,0.0,0.0,27.32,12.0,0,27.32,last_price_fallback
2026-06-26,call,272.5,0.0,0.0,24.86,54.0,0,24.86,last_price_fallback
2026-06-26,call,275.0,0.0,0.0,24.43,24.0,0,24.43,last_price_fallback
